Bastusel_to_Grytfors_disch	Bastusel_lower
Bergnäs_to_Slagnäs_disch	Bergnäs_lower
Båtfors_to_Finnfors_disch	Båtfors_lower
Finnfors_to_Granfors_disch	Finnfors_lower
Gallejaur_to_Vargfors_disch	Gallejaur_lower
Granfors_to_Krångfors_disch	Granfors_lower
Grytfors_to_Gallejaur_disch	Grytfors_lower
Krångfors_to_Selsfors_disch	Krångfors_lower
Kvistforsen_to_downstream_disch	Kvistforsen_lower
Rebnis_to_Bergnäs_disch	Rebnis_lower
Rengård_to_Båtfors_disch	Rengård_lower
Sadva_to_Bergnäs_disch	Sadva_lower
Selsfors_to_Kvistforsen_disch	Selsfors_lower
Slagnäs_to_Bastusel_disch	Slagnäs_lower
Vargfors_to_Rengård_disch	Vargfors_lower
Bastusel_to_Grytfors_spill	Bastusel_upper
Bergnäs_to_Slagnäs_spill	Bergnäs_upper
Båtfors_to_Finnfors_spill	Båtfors_upper
Finnfors_to_Granfors_spill	Finnfors_upper
Gallejaur_to_Vargfors_spill	Gallejaur_upper
Granfors_to_Krångfors_spill	Granfors_upper
Grytfors_to_Gallejaur_spill	Grytfors_upper
Krångfors_to_Selsfors_spill	Krångfors_upper
Kvistforsen_to_downstream_spill	Kvistforsen_upper
Rebnis_to_Bergnäs_spill	Rebnis_upper
Rengård_to_Båtfors_spill	Rengård_upper
Sadva_to_Bergnäs_spill	Sadva_upper
Selsfors_to_Kvistforsen_spill	Selsfors_upper
Slagnäs_to_Bastusel_spill	Slagnäs_upper
Vargfors_to_Rengård_spill	Vargfors_upper
